"","MMSI","BaseDateTime","LAT","LON","SOG","COG","Heading","VesselName","IMO","CallSign","VesselType","Status","Length","Width","Draft","Cargo","TranscieverClass"
"1248894",338138014,"2019-01-01T04:25:49",18.4595,-66.08822,0,34.6,511,"ANAMARINA","","",37,NA,19,NA,NA,NA,"B"
"1248896",367396880,"2019-01-01T04:26:00",17.93668,-66.15605,0,-49.6,511,"PROASSIST I","IMO8851041","WDE7727",31,5,33,10,NA,NA,"A"
"1248916",368020590,"2019-01-01T04:26:06",18.3051,-65.29881,0.1,-96.8,511,"LULU","IMO0000000","WDJ8864",36,NA,16,5,NA,NA,"B"
"1249198",367723910,"2019-01-01T04:25:54",18.289,-65.63448,0,114.8,511,"MARIMAR","","WDI6952",37,NA,NA,NA,NA,NA,"B"
"1249339",366029970,"2019-01-01T04:28:11",18.46111,-66.09347,0,168.2,511,"DOCTOR D","IMO8941597","WAJ2549",52,15,0,0,4,52,"B"
"1249370",367515760,"2019-01-01T04:25:44",18.44812,-66.08942,0,-151.4,511,"DIANE MORAN","IMO9253612","WDG2450",31,0,28,9,3.5,NA,"B"
"1249963",366995010,"2019-01-01T04:28:03",18.44771,-66.09109,0.1,-147.2,511,"BETH M MCALLISTER","IMO8980919","WCZ8598",31,15,33,9,4.3,0,"B"
"1250140",367574560,"2019-01-01T04:25:28",18.2867,-65.63242,0,-147.9,511,"GABEA","","WDG8155",37,NA,20,NA,NA,NA,"B"
"1250524",246506000,"2019-01-01T04:28:34",18.45195,-65.39119,13.6,97.9,98,"VEENDAM","IMO9102992","PHEO",60,0,219,30,7.7,69,"B"
"1250830",367307990,"2019-01-01T04:28:46",17.80548,-66.21223,6.3,-140.3,511,"PUNTA BORINQUEN","IMO6707105","WCX8202",31,11,29,8,3.6,NA,"B"
"1250975",319089300,"2019-01-01T04:28:26",18.45983,-66.09013,0,-52.7,278,"HATT MILL","IMO9642112","ZGFG3",37,5,46,NA,NA,NA,"A"
"1251625",367015490,"2019-01-01T04:26:42",18.05359,-65.83674,0.1,11.2,511,"PEDRITO","IMO8654405","WDC3864",31,5,23,10,NA,NA,"A"
"1252148",367515760,"2019-01-01T04:26:53",18.44811,-66.08941,0,-151.9,511,"DIANE MORAN","IMO9253612","WDG2450",31,0,28,9,3.5,NA,"B"
"1252315",367618240,"2019-01-01T04:28:49",18.2298,-65.62022,0,-91.1,511,"MR EVAN","IMO8964173","WDH4485",60,0,44,8,1.8,NA,"B"
"1252367",367774870,"2019-01-01T04:26:47",18.30291,-65.29841,0.3,-87.6,511,"SHANNON","","WDJ4148",37,NA,NA,NA,NA,NA,"B"
"1252644",671932000,"2019-01-01T04:27:27",18.463,-66.10326,0,-160.3,511,"NORMA H II","IMO7228716","5VFB9",70,5,51,11,3.6,70,"A"
"1252731",339758000,"2019-01-01T04:27:17",18.4589,-66.09023,0,-49.6,511,"","","",NA,5,NA,NA,NA,NA,"A"
"1252941",338536000,"2019-01-01T04:26:54",18.3353,-65.63119,0,-149.9,32,"HILDA LAB","IMO9564322","WKDT",90,0,79,18,4.9,38,"B"
"1253700",338238828,"2019-01-01T04:26:35",17.95487,-66.29215,0,-49.6,511,"SWEET KARMA","IMO0000000","",37,NA,13,4,NA,NA,"B"
"1253856",367396910,"2019-01-01T04:27:36",17.93682,-66.15604,0,170.1,511,"ALEJANDRO","IMO7606633","WDE7729",31,5,34,10,3.7,52,"A"
"1254082",367529160,"2019-01-01T04:27:13",18.44824,-66.0893,0,-110.3,511,"HANDY THREE","","WDG3740",31,5,21,NA,NA,52,"A"
"1254379",338173000,"2019-01-01T04:26:44",18.22973,-65.62009,0,167.2,511,"MR CADE","IMO9307774","WDH4027",60,5,49,9,1.9,NA,"A"
"1254708",368001090,"2019-01-01T04:27:42",18.34337,-65.57052,0.1,53.2,511,"AZULITA","","WDJ6876",36,NA,NA,NA,NA,NA,"B"
"1254852",367744930,"2019-01-01T04:27:35",18.28866,-65.63338,0,57.7,511,"RESPIRE","","WDI9068",37,NA,NA,NA,NA,NA,"B"
"1254963",636018640,"2019-01-01T04:27:38",18.42963,-66.10726,0,162.3,195,"","","",NA,5,NA,NA,NA,NA,"A"
"1255535",368008070,"2019-01-01T04:28:03",18.28733,-65.63242,0,189.7,511,"SALT AIR","","WDJ7579",36,NA,NA,NA,NA,NA,"B"
"1255567",366995010,"2019-01-01T04:29:04",18.44771,-66.0911,0,-142.7,511,"BETH M MCALLISTER","IMO8980919","WCZ8598",31,15,33,9,4.3,0,"B"
"1255732",338926417,"2019-01-01T04:29:07",18.45972,-66.11523,0,-195.2,277,"CG DONALD HORSLEY","","NDOE",90,15,NA,NA,NA,NA,"B"
"1255805",235084084,"2019-01-01T04:28:12",18.45909,-66.08996,0,-89.2,511,"JOSEFINA","","MLCV5",36,NA,NA,NA,NA,NA,"B"
"1255855",366722810,"2019-01-01T04:28:47",18.45993,-66.08795,0,130.9,511,"VAYPE","","WCW7684",37,NA,15,4,NA,NA,"B"
"1256394",338162314,"2019-01-01T04:28:08",18.3417,-65.63867,0.1,0,511,"TOMAHAWK","","",37,NA,18,NA,NA,NA,"B"
"1256826",368014910,"2019-01-01T04:28:18",17.93704,-66.15598,0,-148.7,511,"","","",NA,5,NA,NA,NA,NA,"A"
"1257034",367555530,"2019-01-01T04:28:47",18.0535,-65.83679,0,142.8,511,"PRO ASSIST III","IMO8644395","WDG5696",31,5,33,8,NA,NA,"A"
"1257084",338138014,"2019-01-01T04:28:48",18.45949,-66.08822,0.1,54.5,511,"ANAMARINA","","",37,NA,19,NA,NA,NA,"B"
"1257184",368025180,"2019-01-01T04:28:31",18.45973,-66.088,0,78.2,511,"M/V DEMENCIA","IMO0000000","WDJ9348",37,NA,18,10,NA,NA,"B"
"1257309",367723910,"2019-01-01T04:28:55",18.28901,-65.63447,0,114.8,511,"MARIMAR","","WDI6952",37,NA,NA,NA,NA,NA,"B"
"1258004",367396880,"2019-01-01T04:29:02",17.93667,-66.15603,0,-49.6,511,"PROASSIST I","IMO8851041","WDE7727",31,5,33,10,NA,NA,"A"
"1258008",367515760,"2019-01-01T04:28:04",18.44809,-66.08941,0,-154.1,511,"DIANE MORAN","IMO9253612","WDG2450",31,0,28,9,3.5,NA,"B"
"1258112",368020590,"2019-01-01T04:29:06",18.30506,-65.2988,0.1,-203.8,511,"LULU","IMO0000000","WDJ8864",36,NA,16,5,NA,NA,"B"
"1258197",368062970,"2019-01-01T04:28:14",18.30754,-65.29824,0.3,-57.3,511,"POLYPHONY","IMO0000000","WDK5236",36,NA,12,7,NA,NA,"B"
"1258212",230185000,"2019-01-01T04:28:15",18.44863,-66.08982,0,-90.2,213,"MIMER","IMO9002647","OIZX",70,5,108,17,6,71,"A"
"1258386",338071607,"2019-01-01T04:27:11",18.4607,-66.09091,0,-49.6,511,"HARBOR MIRACLE","","",NA,0,12,NA,NA,NA,"B"
"1258421",338142008,"2019-01-01T04:28:33",18.30407,-65.29653,0.2,158.7,511,"WHISKEY HOTEL","IMO0000000","WDG6156",37,NA,27,8,NA,NA,"B"
"1258685",367433610,"2019-01-01T04:29:01",18.28738,-65.63236,0.1,-145.4,511,"DEJA VU","","WDF2928",37,NA,22,6,NA,NA,"B"
"1258858",367307990,"2019-01-01T04:27:38",17.80552,-66.21023,5.8,-136.7,511,"PUNTA BORINQUEN","IMO6707105","WCX8202",31,11,29,8,3.6,NA,"B"
"1259276",367730640,"2019-01-01T04:26:27",18.28711,-65.63303,0,83.8,511,"STELLA","","WDI7637",37,NA,NA,NA,NA,NA,"B"
"1259635",367719070,"2019-01-01T04:29:08",18.2875,-65.63335,0,128.3,511,"CHATEAU DU MER","","WDI6475",37,NA,NA,NA,NA,NA,"B"
"1260054",338098422,"2019-01-01T04:28:20",18.28619,-65.63273,0,0,511,"EMPTY POCKET","","",37,NA,NA,NA,NA,NA,"B"
"1260108",367574560,"2019-01-01T04:28:29",18.2867,-65.63243,0,-148,511,"GABEA","","WDG8155",37,NA,20,NA,NA,NA,"B"
"1261492",366029970,"2019-01-01T04:29:21",18.46111,-66.09346,0,160.7,511,"DOCTOR D","IMO8941597","WAJ2549",52,15,0,0,4,52,"B"
"1261945",338071607,"2019-01-01T04:29:40",18.4607,-66.09091,0,-49.6,511,"HARBOR MIRACLE","","",NA,0,12,NA,NA,NA,"B"
"1262364",338238828,"2019-01-01T04:29:35",17.95489,-66.29216,0.1,-49.6,511,"SWEET KARMA","IMO0000000","",37,NA,13,4,NA,NA,"B"
"1262902",338536000,"2019-01-01T04:30:03",18.33532,-65.63123,0,-164.6,32,"HILDA LAB","IMO9564322","WKDT",90,0,79,18,4.9,38,"B"
"1263001",367307990,"2019-01-01T04:30:07",17.80548,-66.21452,5.9,-139.5,511,"PUNTA BORINQUEN","IMO6707105","WCX8202",31,11,29,8,3.6,NA,"B"
"1263454",339758000,"2019-01-01T04:30:15",18.4589,-66.09023,0,-49.6,511,"","","",NA,5,NA,NA,NA,NA,"A"
"1263886",366029970,"2019-01-01T04:30:32",18.46109,-66.09346,0,162.2,511,"DOCTOR D","IMO8941597","WAJ2549",52,15,0,0,4,52,"B"
"1263919",636018640,"2019-01-01T04:30:38",18.42964,-66.10726,0,162.3,195,"","","",NA,5,NA,NA,NA,NA,"A"
"1264095",367733250,"2019-01-01T04:30:38",18.45998,-66.08811,0.1,133,511,"LADY ABI II","","WDI7892",37,NA,NA,NA,NA,NA,"B"
"1264663",367515760,"2019-01-01T04:31:04",18.44808,-66.08941,0,-144,511,"DIANE MORAN","IMO9253612","WDG2450",31,0,28,9,3.5,NA,"B"
"1265009",230185000,"2019-01-01T04:31:15",18.44865,-66.08983,0,-90.2,213,"MIMER","IMO9002647","OIZX",70,5,108,17,6,71,"A"
"1265506",671932000,"2019-01-01T04:30:27",18.463,-66.10327,0.1,-159.7,511,"NORMA H II","IMO7228716","5VFB9",70,5,51,11,3.6,70,"A"
"1265855",367649980,"2019-01-01T04:29:21",18.28744,-65.63308,0.1,-103.7,511,"DIFFERENCE","","WDH7624",37,NA,16,NA,NA,NA,"B"
"1266120",367730640,"2019-01-01T04:29:24",18.2871,-65.63303,0,83.8,511,"STELLA","","WDI7637",37,NA,NA,NA,NA,NA,"B"
"1266520",367128950,"2019-01-01T04:29:33",18.44771,-66.09081,0,-49.6,511,"DOROTHY MCALLISTER","IMO8980933","WDD3325",31,0,33,9,4.3,NA,"B"
"1267053",367649980,"2019-01-01T04:32:21",18.28744,-65.63308,0.1,-86.5,511,"DIFFERENCE","","WDH7624",37,NA,16,NA,NA,NA,"B"
"1267182",246506000,"2019-01-01T04:32:23",18.44976,-65.37624,13.6,99,98,"VEENDAM","IMO9102992","PHEO",60,0,219,30,7.7,69,"B"
"1267294",367015490,"2019-01-01T04:29:42",18.0536,-65.83673,0,-49.6,511,"PEDRITO","IMO8654405","WDC3864",31,5,23,10,NA,NA,"A"
"1267607",338173000,"2019-01-01T04:29:45",18.2297,-65.62007,0,142.4,511,"MR CADE","IMO9307774","WDH4027",60,5,49,9,1.9,NA,"A"
"1267745",338109829,"2019-01-01T04:29:44",18.33941,-65.63137,0,-165.6,511,"EL ARQUERO","","",37,NA,14,NA,NA,NA,"B"
"1267761",366995010,"2019-01-01T04:32:04",18.44772,-66.09111,0.1,-153.4,511,"BETH M MCALLISTER","IMO8980919","WCZ8598",31,15,33,9,4.3,0,"B"
"1267811",366029970,"2019-01-01T04:32:01",18.4611,-66.09346,0,176.5,511,"DOCTOR D","IMO8941597","WAJ2549",52,15,0,0,4,52,"B"
"1267941",246506000,"2019-01-01T04:29:44",18.45128,-65.3866,13.6,98.8,98,"VEENDAM","IMO9102992","PHEO",60,0,219,30,7.7,69,"B"
"1268020",367774870,"2019-01-01T04:29:47",18.30288,-65.2984,0.2,139.4,511,"SHANNON","","WDJ4148",37,NA,NA,NA,NA,NA,"B"
"1268296",367307990,"2019-01-01T04:32:07",17.80551,-66.21794,5.9,-137.9,511,"PUNTA BORINQUEN","IMO6707105","WCX8202",31,11,29,8,3.6,NA,"B"
"1269795",367529160,"2019-01-01T04:30:13",18.44836,-66.08921,0,-96.4,511,"HANDY THREE","","WDG3740",31,5,21,NA,NA,52,"A"
"1269903",338071607,"2019-01-01T04:32:31",18.4607,-66.09092,0,-49.6,511,"HARBOR MIRACLE","","",NA,0,12,NA,NA,NA,"B"
"1269953",367723910,"2019-01-01T04:31:52",18.289,-65.63447,0,114.8,511,"MARIMAR","","WDI6952",37,NA,NA,NA,NA,NA,"B"
"1270060",338238828,"2019-01-01T04:32:35",17.95486,-66.29214,0.1,-49.6,511,"SWEET KARMA","IMO0000000","",37,NA,13,4,NA,NA,"B"
"1270174",367618240,"2019-01-01T04:29:58",18.2298,-65.62022,0,-91.1,511,"MR EVAN","IMO8964173","WDH4485",60,0,44,8,1.8,NA,"B"
"1271147",367744930,"2019-01-01T04:30:31",18.28866,-65.63337,0,57.7,511,"RESPIRE","","WDI9068",37,NA,NA,NA,NA,NA,"B"
"1271206",338536000,"2019-01-01T04:33:04",18.33532,-65.63121,0,-167.8,32,"HILDA LAB","IMO9564322","WKDT",90,0,79,18,4.9,38,"B"
"1271614",367307990,"2019-01-01T04:33:27",17.80554,-66.22026,5.9,-144.6,511,"PUNTA BORINQUEN","IMO6707105","WCX8202",31,11,29,8,3.6,NA,"B"
"1271693",367529160,"2019-01-01T04:33:13",18.4483,-66.08926,0,-100.9,511,"HANDY THREE","","WDG3740",31,5,21,NA,NA,52,"A"
"1271726",368001090,"2019-01-01T04:30:42",18.34335,-65.57051,0.1,-161.3,511,"AZULITA","","WDJ6876",36,NA,NA,NA,NA,NA,"B"
"1272050",338162314,"2019-01-01T04:31:09",18.3417,-65.63866,0.1,0,511,"TOMAHAWK","","",37,NA,18,NA,NA,NA,"B"
"1272450",367775170,"2019-01-01T04:31:13",18.28786,-65.6356,0,88.7,511,"STRESS RELEASE","","WDJ4176",37,NA,NA,NA,NA,NA,"B"
"1272549",338926417,"2019-01-01T04:30:18",18.45973,-66.11523,0,-65.2,277,"CG DONALD HORSLEY","","NDOE",90,15,NA,NA,NA,NA,"B"
"1272956",367396910,"2019-01-01T04:30:36",17.9368,-66.15602,0,157.3,511,"ALEJANDRO","IMO7606633","WDE7729",31,5,34,10,3.7,52,"A"
"1273153",368008070,"2019-01-01T04:31:02",18.28734,-65.63241,0,189.7,511,"SALT AIR","","WDJ7579",36,NA,NA,NA,NA,NA,"B"
"1273226",367592540,"2019-01-01T04:31:03",18.30787,-65.29024,0.2,135.6,511,"HADA","","WDG9920",37,NA,14,NA,NA,NA,"B"
"1273917",367618240,"2019-01-01T04:33:39",18.22979,-65.62019,0,-91.1,511,"MR EVAN","IMO8964173","WDH4485",60,0,44,8,1.8,NA,"B"
"1273991",368014910,"2019-01-01T04:31:14",17.937,-66.15599,0,-145.7,511,"","","",NA,5,NA,NA,NA,NA,"A"
"1274307",338098422,"2019-01-01T04:31:19",18.28625,-65.63276,0,86.1,511,"EMPTY POCKET","","",37,NA,NA,NA,NA,NA,"B"
"1274847",367515760,"2019-01-01T04:33:04",18.44809,-66.08942,0,-149.2,511,"DIANE MORAN","IMO9253612","WDG2450",31,0,28,9,3.5,NA,"B"
"1275135",367618240,"2019-01-01T04:31:09",18.22976,-65.6202,0,-91.1,511,"MR EVAN","IMO8964173","WDH4485",60,0,44,8,1.8,NA,"B"
"1275300",368025180,"2019-01-01T04:31:31",18.45975,-66.08796,0,78.2,511,"M/V DEMENCIA","IMO0000000","WDJ9348",37,NA,18,10,NA,NA,"B"
"1275479",367128950,"2019-01-01T04:30:42",18.44772,-66.09082,0,-49.6,511,"DOROTHY MCALLISTER","IMO8980933","WDD3325",31,0,33,9,4.3,NA,"B"
"1275793",367574560,"2019-01-01T04:31:29",18.28671,-65.63243,0,-141.6,511,"GABEA","","WDG8155",37,NA,20,NA,NA,NA,"B"
"1275890",367128950,"2019-01-01T04:34:03",18.44771,-66.09082,0,-49.6,511,"DOROTHY MCALLISTER","IMO8980933","WDD3325",31,0,33,9,4.3,NA,"B"
"1276130",366029970,"2019-01-01T04:34:23",18.46112,-66.09347,0,160.2,511,"DOCTOR D","IMO8941597","WAJ2549",52,15,0,0,4,52,"B"
"1276192",338162314,"2019-01-01T04:34:09",18.34169,-65.63869,0,0,511,"TOMAHAWK","","",37,NA,18,NA,NA,NA,"B"
"1276225",319089300,"2019-01-01T04:31:23",18.45983,-66.09013,0,-171.7,278,"HATT MILL","IMO9642112","ZGFG3",37,5,46,NA,NA,NA,"A"
"1276504",367555530,"2019-01-01T04:31:47",18.05352,-65.8368,0,171.5,511,"PRO ASSIST III","IMO8644395","WDG5696",31,5,33,8,NA,NA,"A"
"1276547",366722810,"2019-01-01T04:31:47",18.45992,-66.08797,0.1,138.5,511,"VAYPE","","WCW7684",37,NA,15,4,NA,NA,"B"
"1276606",338138014,"2019-01-01T04:31:48",18.45952,-66.08822,0,-104.1,511,"ANAMARINA","","",37,NA,19,NA,NA,NA,"B"
"1277169",338142008,"2019-01-01T04:31:34",18.3041,-65.29653,0.4,-78.3,511,"WHISKEY HOTEL","IMO0000000","WDG6156",37,NA,27,8,NA,NA,"B"
"1277420",235084084,"2019-01-01T04:31:12",18.45909,-66.08996,0.1,-89.2,511,"JOSEFINA","","MLCV5",36,NA,NA,NA,NA,NA,"B"
"1277650",246506000,"2019-01-01T04:34:34",18.44853,-65.36769,13.4,98.8,98,"VEENDAM","IMO9102992","PHEO",60,0,219,30,7.7,69,"B"
"1278028",338173000,"2019-01-01T04:32:44",18.2297,-65.62009,0,142.4,511,"MR CADE","IMO9307774","WDH4027",60,5,49,9,1.9,NA,"A"
"1278116",367433610,"2019-01-01T04:32:00",18.28738,-65.63236,0,-143.8,511,"DEJA VU","","WDF2928",37,NA,22,6,NA,NA,"B"
"1278134",366995010,"2019-01-01T04:33:44",18.44772,-66.0911,0.1,-136.2,511,"BETH M MCALLISTER","IMO8980919","WCZ8598",31,15,33,9,4.3,0,"B"
"1278420",367015490,"2019-01-01T04:32:42",18.05359,-65.83672,0,-49.6,511,"PEDRITO","IMO8654405","WDC3864",31,5,23,10,NA,NA,"A"
"1278905",338071607,"2019-01-01T04:34:31",18.4607,-66.09091,0,-49.6,511,"HARBOR MIRACLE","","",NA,0,12,NA,NA,NA,"A"
"1279020",367396880,"2019-01-01T04:32:01",17.93669,-66.15605,0,-49.6,511,"PROASSIST I","IMO8851041","WDE7727",31,5,33,10,NA,NA,"A"
"1279086",368020590,"2019-01-01T04:32:05",18.30506,-65.29881,0.1,201.4,511,"LULU","IMO0000000","WDJ8864",36,NA,16,5,NA,NA,"B"
"1279121",338926417,"2019-01-01T04:31:28",18.45972,-66.11524,0,108.8,278,"CG DONALD HORSLEY","","NDOE",90,15,NA,NA,NA,NA,"B"
"1279363",367719070,"2019-01-01T04:32:10",18.2875,-65.63335,0,128.3,511,"CHATEAU DU MER","","WDI6475",37,NA,NA,NA,NA,NA,"B"
"1279400",368062690,"2019-01-01T04:32:23",18.2877,-65.63598,0.1,-49.6,511,"GURU","IMO0000000","WDK5208",37,NA,18,10,NA,NA,"B"
"1279514",367730640,"2019-01-01T04:32:25",18.2871,-65.63303,0,83.8,511,"STELLA","","WDI7637",37,NA,NA,NA,NA,NA,"B"
"1280034",367515760,"2019-01-01T04:35:04",18.44809,-66.08943,0,-151.8,511,"DIANE MORAN","IMO9253612","WDG2450",31,0,28,9,3.5,NA,"B"
"1280395",338926417,"2019-01-01T04:32:37",18.45972,-66.11524,0,-93.3,277,"CG DONALD HORSLEY","","NDOE",90,15,NA,NA,NA,NA,"B"
"1280539",366995010,"2019-01-01T04:35:14",18.44772,-66.09109,0,-138.7,511,"BETH M MCALLISTER","IMO8980919","WCZ8598",31,15,33,9,4.3,0,"B"
"1280926",338109829,"2019-01-01T04:32:44",18.33941,-65.63139,0,-145.8,511,"EL ARQUERO","","",37,NA,14,NA,NA,NA,"B"
"1281878",367774870,"2019-01-01T04:32:45",18.30295,-65.29843,0.3,-56,511,"SHANNON","","WDJ4148",37,NA,NA,NA,NA,NA,"B"
"1281895",338238828,"2019-01-01T04:35:36",17.95486,-66.29215,0.2,-49.6,511,"SWEET KARMA","IMO0000000","",37,NA,13,4,NA,NA,"B"
"1281903",338926417,"2019-01-01T04:33:38",18.45971,-66.11525,0,85.2,277,"CG DONALD HORSLEY","","NDOE",90,15,NA,NA,NA,NA,"B"
"1281938",367733250,"2019-01-01T04:33:38",18.45999,-66.08815,0,133,511,"LADY ABI II","","WDI7892",37,NA,NA,NA,NA,NA,"B"
"1282271",339758000,"2019-01-01T04:33:14",18.4589,-66.09023,0,-49.6,511,"","","",NA,5,NA,NA,NA,NA,"A"
"1282941",671932000,"2019-01-01T04:36:27",18.46301,-66.10325,0,-148.8,511,"NORMA H II","IMO7228716","5VFB9",70,5,51,11,3.6,70,"A"
"1282981",338926417,"2019-01-01T04:36:27",18.45973,-66.11525,0,-124.3,277,"CG DONALD HORSLEY","","NDOE",90,15,NA,NA,NA,NA,"B"
"1283408",246506000,"2019-01-01T04:36:03",18.44768,-65.36198,13.3,98.1,98,"VEENDAM","IMO9102992","PHEO",60,0,219,30,7.7,69,"B"
"1283666",367307990,"2019-01-01T04:36:08",17.8056,-66.22485,5.5,-144.4,511,"PUNTA BORINQUEN","IMO6707105","WCX8202",31,11,29,8,3.6,NA,"B"
"1284187",367015490,"2019-01-01T04:36:46",18.0536,-65.83672,0,-49.6,511,"PEDRITO","IMO8654405","WDC3864",31,5,23,10,NA,NA,"A"
"1284235",367307990,"2019-01-01T04:34:57",17.80556,-66.22281,5.8,-135.4,511,"PUNTA BORINQUEN","IMO6707105","WCX8202",31,11,29,8,3.6,NA,"B"
"1284338",368001090,"2019-01-01T04:33:43",18.34335,-65.5705,0.1,141.5,511,"AZULITA","","WDJ6876",36,NA,NA,NA,NA,NA,"B"
"1284381",367744930,"2019-01-01T04:33:36",18.28866,-65.63338,0,57.7,511,"RESPIRE","","WDI9068",37,NA,NA,NA,NA,NA,"B"
"1284416",367618240,"2019-01-01T04:34:59",18.22978,-65.6202,0,-91.1,511,"MR EVAN","IMO8964173","WDH4485",60,0,44,8,1.8,NA,"B"
"1285528",367396910,"2019-01-01T04:36:34",17.93681,-66.15604,0,161.7,511,"ALEJANDRO","IMO7606633","WDE7729",31,5,34,10,3.7,52,"A"
"1285588",367128950,"2019-01-01T04:35:13",18.44771,-66.09082,0,-49.6,511,"DOROTHY MCALLISTER","IMO8980933","WDD3325",31,0,33,9,4.3,NA,"B"
"1285700",636018640,"2019-01-01T04:33:38",18.42964,-66.10725,0,126.6,195,"","","",NA,5,NA,NA,NA,NA,"A"
"1285705",368008070,"2019-01-01T04:34:01",18.28733,-65.63241,0,189.7,511,"SALT AIR","","WDJ7579",36,NA,NA,NA,NA,NA,"B"
"1286543",338098422,"2019-01-01T04:34:19",18.2862,-65.63276,0,68,511,"EMPTY POCKET","","",37,NA,NA,NA,NA,NA,"B"
"1286656",671932000,"2019-01-01T04:33:27",18.46301,-66.10326,0.1,-144.9,511,"NORMA H II","IMO7228716","5VFB9",70,5,51,11,3.6,70,"A"
"1286717",368014910,"2019-01-01T04:34:20",17.93701,-66.15599,0,-144.8,511,"","","",NA,5,NA,NA,NA,NA,"A"
"1286779",366029970,"2019-01-01T04:37:23",18.46111,-66.09347,0.1,160.6,511,"DOCTOR D","IMO8941597","WAJ2549",52,15,0,0,4,52,"B"
"1287184",636018640,"2019-01-01T04:36:38",18.42964,-66.10725,0,147.2,195,"","","",NA,5,NA,NA,NA,NA,"A"
"1287265",319089300,"2019-01-01T04:34:25",18.45983,-66.09014,0,-109.5,278,"HATT MILL","IMO9642112","ZGFG3",37,5,46,NA,NA,NA,"A"
"1287274",338536000,"2019-01-01T04:34:13",18.33529,-65.63116,0.1,-194.2,32,"HILDA LAB","IMO9564322","WKDT",90,0,79,18,4.9,38,"B"
"1287305",367555530,"2019-01-01T04:34:47",18.05351,-65.83679,0.1,141.4,511,"PRO ASSIST III","IMO8644395","WDG5696",31,5,33,8,NA,NA,"A"
"1287308",367574560,"2019-01-01T04:34:28",18.28671,-65.63243,0.1,-143.3,511,"GABEA","","WDG8155",37,NA,20,NA,NA,NA,"B"
"1287512",367515760,"2019-01-01T04:37:04",18.44812,-66.08943,0,-145.3,511,"DIANE MORAN","IMO9253612","WDG2450",31,0,28,9,3.5,NA,"B"
"1288107",338536000,"2019-01-01T04:37:04",18.33531,-65.63122,0.1,-183.2,32,"HILDA LAB","IMO9564322","WKDT",90,0,79,18,4.9,38,"B"
"1288347",366995010,"2019-01-01T04:37:25",18.44772,-66.09109,0.1,-137.1,511,"BETH M MCALLISTER","IMO8980919","WCZ8598",31,15,33,9,4.3,0,"B"
"1288581",230185000,"2019-01-01T04:37:15",18.44861,-66.08982,0,-90.2,213,"MIMER","IMO9002647","OIZX",70,5,108,17,6,71,"A"
"1288607",368025180,"2019-01-01T04:34:30",18.45975,-66.08797,0,78.2,511,"M/V DEMENCIA","IMO0000000","WDJ9348",37,NA,18,10,NA,NA,"B"
"1288611",367307990,"2019-01-01T04:37:17",17.80562,-66.22685,5.9,-132.7,511,"PUNTA BORINQUEN","IMO6707105","WCX8202",31,11,29,8,3.6,NA,"B"
"1289025",367618240,"2019-01-01T04:37:39",18.22979,-65.62023,0,-91.1,511,"MR EVAN","IMO8964173","WDH4485",60,0,44,8,1.8,NA,"B"
"1289147",366722810,"2019-01-01T04:34:47",18.4599,-66.08798,0,129.7,511,"VAYPE","","WCW7684",37,NA,15,4,NA,NA,"B"
"1289361",338142008,"2019-01-01T04:34:33",18.30402,-65.29653,0.2,164.1,511,"WHISKEY HOTEL","IMO0000000","WDG6156",37,NA,27,8,NA,NA,"B"
"1290214",367396910,"2019-01-01T04:33:36",17.93683,-66.15603,0,167.1,511,"ALEJANDRO","IMO7606633","WDE7729",31,5,34,10,3.7,52,"A"
"1290698",367723910,"2019-01-01T04:34:54",18.28901,-65.63447,0.1,114.8,511,"MARIMAR","","WDI6952",37,NA,NA,NA,NA,NA,"B"
"1290921",367433610,"2019-01-01T04:34:57",18.28738,-65.63235,0,-149.4,511,"DEJA VU","","WDF2928",37,NA,22,6,NA,NA,"B"
"1291292",366029970,"2019-01-01T04:36:22",18.46111,-66.09347,0,167.2,511,"DOCTOR D","IMO8941597","WAJ2549",52,15,0,0,4,52,"B"
"1291337",338071607,"2019-01-01T04:38:12",18.46071,-66.09091,0,-49.6,511,"HARBOR MIRACLE","","",NA,0,12,NA,NA,NA,"B"
"1292199",367719070,"2019-01-01T04:35:12",18.2875,-65.63335,0.1,128.3,511,"CHATEAU DU MER","","WDI6475",37,NA,NA,NA,NA,NA,"B"
"1292527",367649980,"2019-01-01T04:35:22",18.28746,-65.63308,0.1,-109.2,511,"DIFFERENCE","","WDH7624",37,NA,16,NA,NA,NA,"B"
"1292530",338109829,"2019-01-01T04:35:44",18.33941,-65.63137,0,-170.6,511,"EL ARQUERO","","",37,NA,14,NA,NA,NA,"B"
"1292752",338926417,"2019-01-01T04:37:38",18.45973,-66.11525,0,-101.6,277,"CG DONALD HORSLEY","","NDOE",90,15,NA,NA,NA,NA,"B"
"1292769",367730640,"2019-01-01T04:35:26",18.28711,-65.63303,0,83.8,511,"STELLA","","WDI7637",37,NA,NA,NA,NA,NA,"B"
"1293555",338173000,"2019-01-01T04:35:46",18.2297,-65.62005,0,142.4,511,"MR CADE","IMO9307774","WDH4027",60,5,49,9,1.9,NA,"A"
"1294129",235084084,"2019-01-01T04:34:12",18.45909,-66.08996,0,-89.2,511,"JOSEFINA","","MLCV5",36,NA,NA,NA,NA,NA,"B"
"1294522",230185000,"2019-01-01T04:34:15",18.4486,-66.0898,0,-90.2,213,"MIMER","IMO9002647","OIZX",70,5,108,17,6,71,"A"
