"","MMSI","BaseDateTime","LAT","LON","SOG","COG","Heading","VesselName","IMO","CallSign","VesselType","Status","Length","Width","Draft","Cargo","TranscieverClass"
"4894764",367515760,"2019-01-01T16:04:42",18.4481,-66.0894,0,-163.8,511,"DIANE MORAN","IMO9253612","WDG2450",31,0,28,9,3.5,NA,"B"
"4894849",367128950,"2019-01-01T16:04:43",18.4477,-66.0908,0,-49.6,511,"DOROTHY MCALLISTER","IMO8980933","WDD3325",31,0,33,9,4.3,NA,"B"
"4894926",338531000,"2019-01-01T16:04:44",17.9611,-65.82752,4.6,46.5,46,"GENESIS VIGILANT","IMO8973928","WDG9352",31,0,30,10,5,31,"B"
"4895001",366995010,"2019-01-01T16:04:44",18.44773,-66.09109,0,-141.4,511,"BETH M MCALLISTER","IMO8980919","WCZ8598",31,15,33,9,4.3,0,"B"
"4895121",368020040,"2019-01-01T16:04:16",18.49681,-66.0041,7.1,138.6,511,"AQUA","IMO0000000","WDJ8811",36,NA,12,6,NA,NA,"B"
"4895604",367367040,"2019-01-01T16:04:48",18.28752,-65.25778,6.4,54.4,511,"RESOLUTE","","WDE5459",37,NA,16,4,NA,NA,"B"
"4895970",366722810,"2019-01-01T16:04:51",18.45996,-66.08804,0,-203.2,511,"VAYPE","","WCW7684",37,NA,15,4,NA,NA,"B"
"4896035",338138014,"2019-01-01T16:04:49",18.45952,-66.08821,0,69.2,511,"ANAMARINA","","",37,NA,19,NA,NA,NA,"B"
"4896216",230185000,"2019-01-01T16:04:55",18.50734,-66.0338,9.1,84.4,82,"MIMER","IMO9002647","OIZX",70,0,108,17,6,71,"B"
"4896456",367649980,"2019-01-01T16:04:59",18.08355,-65.56841,5.5,128.9,511,"DIFFERENCE","","WDH7624",37,NA,16,NA,NA,NA,"B"
"4896506",203141400,"2019-01-01T16:01:58",18.14818,-65.26348,6.3,169.4,511,"LUSEA","IMO0000000","OEX7182",36,NA,14,4,NA,NA,"B"
"4896560",338536000,"2019-01-01T16:04:54",18.33533,-65.63115,0,-178.3,32,"HILDA LAB","IMO9564322","WKDT",90,0,79,18,4.9,38,"B"
"4896637",367649980,"2019-01-01T16:01:59",18.08639,-65.57193,5.2,129.1,511,"DIFFERENCE","","WDH7624",37,NA,16,NA,NA,NA,"B"
"4896643",367774870,"2019-01-01T16:05:36",18.29416,-65.27787,5.3,125.2,511,"SHANNON","","WDJ4148",37,NA,NA,NA,NA,NA,"B"
"4896780",338109829,"2019-01-01T16:05:39",18.3394,-65.63135,0,23.1,511,"EL ARQUERO","","",37,NA,14,NA,NA,NA,"B"
"4896826",367775170,"2019-01-01T16:05:02",18.28787,-65.63559,0,88.7,511,"STRESS RELEASE","","WDJ4176",37,NA,NA,NA,NA,NA,"B"
"4896926",338926417,"2019-01-01T16:04:48",18.45973,-66.11524,0,-147.6,257,"CG DONALD HORSLEY","","NDOE",90,15,NA,NA,NA,NA,"B"
"4897041",338071607,"2019-01-01T16:05:01",18.4607,-66.0909,0,-49.6,511,"HARBOR MIRACLE","","",NA,0,12,NA,NA,NA,"B"
"4897233",367015490,"2019-01-01T16:05:43",18.0536,-65.83672,0,-49.6,511,"PEDRITO","IMO8654405","WDC3864",31,5,23,10,NA,NA,"A"
"4897533",366915910,"2019-01-01T16:05:10",18.26122,-65.57529,27.6,157.4,156,"BIG CAT EXPRESS","IMO9316751","WDB5980",60,0,46,10,1.4,NA,"B"
"4897728",368020040,"2019-01-01T16:05:17",18.49545,-66.0027,6.8,134.7,511,"AQUA","IMO0000000","WDJ8811",36,NA,12,6,NA,NA,"B"
"4898124",367730640,"2019-01-01T16:05:25",18.2871,-65.63303,0,-76.8,511,"STELLA","","WDI7637",37,NA,NA,NA,NA,NA,"B"
"4898498",367733250,"2019-01-01T16:05:41",18.46,-66.08813,0,-172.4,511,"LADY ABI II","","WDI7892",37,NA,NA,NA,NA,NA,"B"
"4898586",368237000,"2019-01-01T16:05:41",18.22925,-65.61928,0,-49.6,511,"CAYO LARGO","IMO9535113","WDE5350",60,0,50,14,2.1,NA,"B"
"4899366",368237000,"2019-01-01T16:02:21",18.22923,-65.61929,0,-49.6,511,"CAYO LARGO","IMO9535113","WDE5350",60,0,50,14,2.1,NA,"B"
"4900150",367618240,"2019-01-01T16:05:53",18.15239,-65.44381,2.1,100.1,511,"MR EVAN","IMO8964173","WDH4485",60,0,44,8,1.8,NA,"B"
"4900582",366029970,"2019-01-01T16:05:52",18.46113,-66.09347,0,185.1,511,"DOCTOR D","IMO8941597","WAJ2549",52,15,0,0,4,52,"B"
"4900870",367128950,"2019-01-01T16:05:53",18.4477,-66.09081,0,-49.6,511,"DOROTHY MCALLISTER","IMO8980933","WDD3325",31,0,33,9,4.3,NA,"B"
"4900961",367070680,"2019-01-01T16:05:56",18.4549,-66.11637,12.3,198.1,511,"COVADONGA","","WDI5647",60,0,22,8,NA,NA,"B"
"4901092",338531000,"2019-01-01T16:05:55",17.96209,-65.82634,4.6,51.8,47,"GENESIS VIGILANT","IMO8973928","WDG9352",31,0,30,10,5,31,"B"
"4901715",367578350,"2019-01-01T16:06:10",18.31139,-65.12394,9.6,-118.9,511,"MARY SUNSHINE","","WDH7113",37,NA,18,NA,NA,NA,"B"
"4901754",230185000,"2019-01-01T16:06:04",18.50766,-66.03082,9,82.3,82,"MIMER","IMO9002647","OIZX",70,0,108,17,6,71,"B"
"4901868",366915910,"2019-01-01T16:06:13",18.25365,-65.57245,28.2,165.1,169,"BIG CAT EXPRESS","IMO9316751","WDB5980",60,0,46,10,1.4,NA,"B"
"4901979",203141400,"2019-01-01T16:06:03",18.14033,-65.26207,6.7,171.8,511,"LUSEA","IMO0000000","OEX7182",36,NA,14,4,NA,NA,"B"
"4901992",367649980,"2019-01-01T16:06:00",18.08254,-65.56717,5.4,128.5,511,"DIFFERENCE","","WDH7624",37,NA,16,NA,NA,NA,"B"
"4902143",338926417,"2019-01-01T16:05:57",18.45974,-66.11524,0,-160.2,257,"CG DONALD HORSLEY","","NDOE",90,15,NA,NA,NA,NA,"B"
